address,owner,amount
J2E8vDbaKUd2KmrLRCAD3scLd2zTUHSmg4sp3UYyqH3E,DgLcG7dhE8VBoA4rJu1resczXkYTSGUx7Ry1HicqcqZr,"2,636,537.97"
3t2NbwTYdmE7yTZfZa3VP2cAg1R1c7fzHWEtJse7ow2B,CmASspm9y8wkpHLTtnER5ZLkmqudCtmC4aSq6XQckPg6,"528,070.80"
Aa9tKZXh6JAnQyTf8ZrX6eKkCuKS9myCPzYJydWJFbsu,5RbAcTnEJQqppXBBDE8EGEUqWJiiqkzM3XenCKhfbKYP,"29,599.81"
FbDCDpbdtkKW7BsGMnuunZgDiiEYXkyxQqzCLBFXKiun,FQ9wwaL4LSnTGPB9q89Z4haK4AFoCquaUKh5tF4V7QEm,"15,351.54"
BnL1WYHxbeDKuUo5gpt2UrBFW3ef9Afno4J6znxbYTXQ,6m3SRXZSEgWjJnANLhc8cPbPLj4GZ1g6fkVfop1ewJLr,"9,758.49"
7ExzBYtZMn6ZehbYv1iyNYQatgVTW11H2V6ZkVEicHPi,Z95eWdDkC1DhVqGg4vAUy8nVF5dmz5BvGhdiMSUB1U6,"9,226.25"
DCXYgJNbawe4wppAi22EaUzau4DVeQZCPdL21taBx39k,2aa8zFehxQKD1aCzyMtNSs5K1RpJ8HVoLsydgFMuyTcE,"8,198.62"
54vv5QSZkmHpQzpvUmpS5ZreDwmbuXPdbGp9ybzgcsTM,CTcvsPoWroF2e2iiZWe6ztBwNQHiDyAVCs8EbQ5Annig,"6,715.30"
m7YLjFjnC4DE4oYzyekAjKDJZohgEUv8Bc2fMhzXUoL,3NRTqKzQeyhUAoFE4isDAJa7MguUHgLxaDVGG1bpRh35,"6,622.20"
EWg6sAk162LXGyXeW3ytXKVjf1MrncnxUHaQfxPnsPuG,Gg9G4T7obnNxmhW67VjyPEHwFYyWrNRZozcC7PawGyuK,"6,592.98"
7uRJr3tuR7HgLUiaFfGqfv6pUfA7CdYv3gKEebP8ssuw,CRyBNQNrGpTKa1KtuCSAGATC1rUejhKH78c6DR4KYFkC,"5,980.71"
J23zCkeoxLiZNwf5Pt8dAWY378NgbxA9judAQst5PaPe,H5i2BYiSZLUBBQfDx1ohamj5YdkinHvjkVUqvYfw98YY,"5,321.92"
5Fjd9tuvRACeQR7iMQwUtWzKKcCiHDsV5TRPCMTW5F4,H4VhUXEdhHvW1YXqPqMTLjVGNANGoncW7zcVf4XKrhVN,"5,212.91"
BidVgYvTNNw2k1ErHVGPhDMYfxu3cFMronrDRgBXJ2h6,JBsMC5ha26xwsVh53GcYhtKBsMDT6knvSwYUmBXz67Hd,"5,118.03"
54gFn31S8ZWa2RfZhDsSXhz29e3aJC8rNwf1NDr8LD69,7WfRh9HmNGRoLct2ARW1DjkPSe8EZ2RpC24KGm1PU4Cn,"4,903.40"
FDmeT7Sk4LhcxP5uw3L8utmHQcJcqRU5iSmmTdw2Npom,3tKP4RwnXjYz2j6JHcoouAw6Qf5foA7yNQwvUDzPAgtm,"4,839.72"
98v8NpGZaVz6DJXxRfTgfwJB5MChF7FAygKe9PU6NzKo,7Dk8MWCPvwQc5HRq4kV2UsYZ3xbWwpSkyU6tq3iHmrGD,"4,775.38"
BYKGqFv2tZhwa3yRHF46deJjjz6adVU8AKWGitQKHx3r,45jbR4havGSUuvSm9EQqpr19HKMCWaHzXvKKDs9Sfaon,"4,327.38"
12VirZGMWizCs5rErTfenJShdnW3ZfYaU3aL1FWYiNzz,82T1HYktJVRdmvy716pMQz8jtzM3aoarrDXCK5Jw2dTr,"3,283.26"
8Xkts9RhU8MRjfrvDRJ5kszVM9u4NrYMA6whzYJ8kE5S,BEJrbyRcaWvWE1cyiNf2W9TnZiDYiiJeNyyDR9PARZmB,"3,064.94"
